epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,982.677,0.53297,0.7401,0.94191,0.99734,0.98425,0.98237,0.9485,0.29837,0.34179,0.8234,0.000476073,0.000476073,0.000476073
2,1903.99,0.47447,0.41314,0.93841,0.99734,0.98425,0.98391,0.94261,0.29535,0.27635,0.82256,0.000905263,0.000905263,0.000905263
3,2817.72,0.44888,0.37537,0.93458,0.99745,0.98425,0.98761,0.9686,0.24528,0.22112,0.80945,0.00128729,0.00128729,0.00128729
4,3785.09,0.42048,0.3419,0.92671,0.99751,0.98425,0.98281,0.96487,0.23958,0.20367,0.80881,0.00121679,0.00121679,0.00121679
5,4717.41,0.40155,0.32433,0.91769,0.99742,0.98425,0.98145,0.96584,0.22022,0.18948,0.79995,0.00114606,0.00114606,0.00114606
6,5633.24,0.3823,0.30568,0.91211,0.99751,0.98425,0.98723,0.96975,0.22135,0.17955,0.8025,0.00107532,0.00107532,0.00107532
7,6561.4,0.37041,0.29554,0.90784,0.99753,0.98425,0.98743,0.97344,0.20272,0.15981,0.79306,0.00100459,0.00100459,0.00100459
8,7487.04,0.35875,0.28616,0.90553,0.99753,0.98425,0.98889,0.97561,0.20291,0.15836,0.79422,0.000933851,0.000933851,0.000933851
9,8404.58,0.34806,0.27824,0.89953,0.99753,0.98425,0.9882,0.97465,0.19215,0.14756,0.79004,0.000863116,0.000863116,0.000863116
10,9322.95,0.33834,0.26575,0.89761,0.99751,0.98425,0.98851,0.976,0.1901,0.14349,0.78926,0.00079238,0.00079238,0.00079238
11,10225.6,0.22604,0.18237,0.81762,0.99755,0.98425,0.9874,0.97589,0.17981,0.13652,0.78713,0.000721645,0.000721645,0.000721645
12,11128.1,0.2135,0.16927,0.81154,0.99753,0.98425,0.98734,0.97449,0.17668,0.13082,0.78702,0.000650909,0.000650909,0.000650909
13,12031.4,0.20991,0.16515,0.812,0.99751,0.98425,0.98684,0.97513,0.17312,0.12768,0.78479,0.000580174,0.000580174,0.000580174
14,12957.8,0.20026,0.1551,0.81054,0.99754,0.98425,0.98809,0.97565,0.165,0.11459,0.78459,0.000509438,0.000509438,0.000509438
15,13861.1,0.19411,0.14856,0.81015,0.99754,0.98425,0.9849,0.97213,0.16391,0.11251,0.78497,0.000438703,0.000438703,0.000438703
16,14765.1,0.1877,0.14296,0.8103,0.99754,0.98425,0.98803,0.97602,0.16404,0.11019,0.78489,0.000367967,0.000367967,0.000367967
17,15666.9,0.18263,0.13652,0.80733,0.99754,0.98425,0.98732,0.97439,0.15706,0.10213,0.784,0.000297232,0.000297232,0.000297232
18,16568.9,0.17636,0.12852,0.80411,0.99755,0.98425,0.98545,0.9735,0.15927,0.10198,0.7848,0.000226497,0.000226497,0.000226497
19,17455.9,0.17125,0.12407,0.8062,0.99751,0.98425,0.98757,0.97556,0.15311,0.09626,0.78262,0.000155761,0.000155761,0.000155761
20,18318.9,0.16603,0.11778,0.80289,0.99755,0.98425,0.98789,0.97606,0.15142,0.09336,0.78243,8.50255e-05,8.50255e-05,8.50255e-05
